question,answer
What is the capital of France?,Paris
What is the square root of 64?,8
Who wrote "Pride and Prejudice"?,Jane Austen
What is the chemical formula for water?,H2O
What is the boiling point of water in Celsius?,100
Who painted the Mona Lisa?,Leonardo da Vinci
In what year did World War II end?,1945
What is the largest planet in our solar system?,Jupiter
What is the speed of light in vacuum?,299,792,458 meters per second
What is photosynthesis?,The process by which green plants and some other organisms use sunlight to synthesize nutrients from carbon dioxide and water
